image_index,source_image,source_npy,source_path,n_patches,worst_channel,worst_hp_var_ratio,worst_hf_energy_frac,noisy_channels,flagged,error,dyn_ch0,dyn_ch1,dyn_ch2,hf_ch0,hf_ch1,hf_ch2,hp_ch0,hp_ch1,hp_ch2,std_ch0,std_ch1,std_ch2
180,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSIHARMIN_7_Multichannel Z-Stack_20251104_161.vsi,3_2_PSIHARMIN_7_Multichannel Z-Stack_20251104_161.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSIHARMIN_7_Multichannel Z-Stack_20251104_161.vsi,324,ch2,0.25940131800208144,0.23162510719275306,,False,,0.6012861728668213,0.7594936490058899,0.732758641242981,0.10164509328790658,0.1556424085558379,0.23162510719275306,0.13599298714678312,0.17300220198885585,0.25940131800208144,0.11725166440010071,0.1594945639371872,0.14850521087646484
181,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSIHARMIN_8A_Multichannel Z-Stack_20251104_163.vsi,3_2_PSIHARMIN_8A_Multichannel Z-Stack_20251104_163.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSIHARMIN_8A_Multichannel Z-Stack_20251104_163.vsi,324,ch2,0.24122262121203134,0.21382279512607924,,False,,0.5895765423774719,0.8101266026496887,0.7739130258560181,0.10423390722061897,0.1326334237777698,0.21382279512607924,0.13626332638289876,0.14762820805422738,0.24122262121203134,0.11826404929161072,0.1806795299053192,0.16621866822242737
182,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSIHARMIN_8_Multichannel Z-Stack_20251104_162.vsi,3_2_PSIHARMIN_8_Multichannel Z-Stack_20251104_162.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSIHARMIN_8_Multichannel Z-Stack_20251104_162.vsi,324,ch2,0.2336528302695446,0.20609215127117653,,False,,0.5861027240753174,0.8101266026496887,0.7768595218658447,0.09901094942090834,0.13263032464326294,0.20609215127117653,0.13159673737468128,0.14741861248672222,0.2336528302695446,0.11812234669923782,0.18133486807346344,0.16520598530769348
183,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSIHARMIN_9_Multichannel Z-Stack_20251104_164.vsi,3_2_PSIHARMIN_9_Multichannel Z-Stack_20251104_164.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSIHARMIN_9_Multichannel Z-Stack_20251104_164.vsi,324,ch2,0.22651920993894398,0.1981655979275833,,False,,0.6145833134651184,0.7747252583503723,0.7575757503509521,0.0905288198009692,0.13089316564086134,0.1981655979275833,0.1289928037160433,0.14784464854676443,0.22651920993894398,0.1194101870059967,0.16793356835842133,0.1566435545682907
184,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSI_10_Multichannel Z-Stack_20251104_153.vsi,3_2_PSI_10_Multichannel Z-Stack_20251104_153.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSI_10_Multichannel Z-Stack_20251104_153.vsi,324,ch2,0.25705621441941967,0.22660725197262258,,False,,0.6100386381149292,0.7169811129570007,0.7421875,0.12337722973822204,0.18922848072774925,0.22660725197262258,0.15052075561652112,0.20607041646401408,0.25705621441941967,0.11905579268932343,0.1449608951807022,0.15133245289325714
185,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSI_1_Multichannel Z-Stack_20251104_140.vsi,3_2_PSI_1_Multichannel Z-Stack_20251104_140.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSI_1_Multichannel Z-Stack_20251104_140.vsi,324,ch2,0.290875903100874,0.25602047547702805,,False,,0.6115702390670776,0.7610062956809998,0.767241358757019,0.10290732390681784,0.2038352037583642,0.25602047547702805,0.14037900213099214,0.22685678020316255,0.290875903100874,0.11509574949741364,0.1577882021665573,0.15988153219223022
186,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSI_2_Multichannel Z-Stack_20251104_141.vsi,3_2_PSI_2_Multichannel Z-Stack_20251104_141.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSI_2_Multichannel Z-Stack_20251104_141.vsi,324,ch2,0.2624721995841219,0.23242408439651777,,False,,0.5936508178710938,0.7435897588729858,0.756302535533905,0.10432043340939283,0.17969648792656726,0.23242408439651777,0.1338270816108016,0.1985327660452149,0.2624721995841219,0.11659058183431625,0.15591946244239807,0.157241553068161
187,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSI_3 100MS_Multichannel Z-Stack_20251104_144.vsi,3_2_PSI_3 100MS_Multichannel Z-Stack_20251104_144.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSI_3 100MS_Multichannel Z-Stack_20251104_144.vsi,324,ch2,0.22827901109214804,0.19940582787555147,,False,,0.6217008829116821,0.7692307829856873,0.769784152507782,0.09886025892010009,0.12645654117922445,0.19940582787555147,0.12948321491094536,0.1430103498972862,0.22827901109214804,0.12109819054603577,0.1616133153438568,0.1614552140235901
188,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSI_3 AUTOM. EXPOZICE_Multichannel Z-Stack_20251104_142.vsi,3_2_PSI_3 AUTOM. EXPOZICE_Multichannel Z-Stack_20251104_142.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSI_3 AUTOM. EXPOZICE_Multichannel Z-Stack_20251104_142.vsi,324,ch2,0.2611351489556444,0.2285275440804366,,False,,0.5972222089767456,0.800000011920929,0.7751938104629517,0.10514022024079003,0.13974627425795902,0.2285275440804366,0.13894985768850096,0.15679882267967984,0.2611351489556444,0.11575984209775925,0.17008748650550842,0.16255149245262146
189,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSI_3_Multichannel Z-Stack_20251104_143.vsi,3_2_PSI_3_Multichannel Z-Stack_20251104_143.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251104\3_2_PSI_3_Multichannel Z-Stack_20251104_143.vsi,324,ch2,0.29782601559305777,0.2653272601473026,,False,,0.6264367699623108,0.759036123752594,0.7666666507720947,0.19468858068061587,0.18679868321116652,0.2653272601473026,0.21039341380809579,0.1991899851048574,0.29782601559305777,0.12258294224739075,0.1566881239414215,0.16260771453380585
