file_path,file_name,file_suffix,scene_index,scene_name,size_z,z_step_um,z_start_um,z_end_um,z_range_method,error
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_8_Multichannel Z-Stack_20251017_18.vsi,2_1_kontrola_8_Multichannel Z-Stack_20251017_18.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_9_Multichannel Z-Stack_20251017_19.vsi,2_1_kontrola_9_Multichannel Z-Stack_20251017_19.vsi,.vsi,0,"C488, C561, C640",23,,278.3028810352194,281.6028810352194,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_9_Multichannel Z-Stack_20251017_19.vsi,2_1_kontrola_9_Multichannel Z-Stack_20251017_19.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_10_Multichannel Z-Stack_20251017_30.vsi,2_2_PSI_10_Multichannel Z-Stack_20251017_30.vsi,.vsi,0,"C488, C561, C640",37,,301.90025025941526,307.30025025941524,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_10_Multichannel Z-Stack_20251017_30.vsi,2_2_PSI_10_Multichannel Z-Stack_20251017_30.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_1_Multichannel Z-Stack_20251017_21.vsi,2_2_PSI_1_Multichannel Z-Stack_20251017_21.vsi,.vsi,0,"C488, C561, C640",23,,281.293786241836,284.593786241836,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_1_Multichannel Z-Stack_20251017_21.vsi,2_2_PSI_1_Multichannel Z-Stack_20251017_21.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_2_Multichannel Z-Stack_20251017_22.vsi,2_2_PSI_2_Multichannel Z-Stack_20251017_22.vsi,.vsi,0,"C488, C561, C640",30,,282.6548220716596,287.0048220716597,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_2_Multichannel Z-Stack_20251017_22.vsi,2_2_PSI_2_Multichannel Z-Stack_20251017_22.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_3_Multichannel Z-Stack_20251017_23.vsi,2_2_PSI_3_Multichannel Z-Stack_20251017_23.vsi,.vsi,0,"C488, C561, C640",31,,285.00741622413483,289.50741622413483,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_3_Multichannel Z-Stack_20251017_23.vsi,2_2_PSI_3_Multichannel Z-Stack_20251017_23.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_4_Multichannel Z-Stack_20251017_24.vsi,2_2_PSI_4_Multichannel Z-Stack_20251017_24.vsi,.vsi,0,"C488, C561, C640",36,,285.75286882744314,291.00286882744314,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_4_Multichannel Z-Stack_20251017_24.vsi,2_2_PSI_4_Multichannel Z-Stack_20251017_24.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_5_Multichannel Z-Stack_20251017_25.vsi,2_2_PSI_5_Multichannel Z-Stack_20251017_25.vsi,.vsi,0,"C488, C561, C640",37,,288.1054629799183,293.50546297991826,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_5_Multichannel Z-Stack_20251017_25.vsi,2_2_PSI_5_Multichannel Z-Stack_20251017_25.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_6_Multichannel Z-Stack_20251017_26.vsi,2_2_PSI_6_Multichannel Z-Stack_20251017_26.vsi,.vsi,0,"C488, C561, C640",36,,289.7509155832266,295.0009155832266,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_6_Multichannel Z-Stack_20251017_26.vsi,2_2_PSI_6_Multichannel Z-Stack_20251017_26.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_7_Multichannel Z-Stack_20251017_27.vsi,2_2_PSI_7_Multichannel Z-Stack_20251017_27.vsi,.vsi,0,"C488, C561, C640",32,,291.93792650918635,296.58792650918633,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_7_Multichannel Z-Stack_20251017_27.vsi,2_2_PSI_7_Multichannel Z-Stack_20251017_27.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_8_Multichannel Z-Stack_20251017_28.vsi,2_2_PSI_8_Multichannel Z-Stack_20251017_28.vsi,.vsi,0,"C488, C561, C640",44,,294.6548037599951,301.1048037599951,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_8_Multichannel Z-Stack_20251017_28.vsi,2_2_PSI_8_Multichannel Z-Stack_20251017_28.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_9_Multichannel Z-Stack_20251017_29.vsi,2_2_PSI_9_Multichannel Z-Stack_20251017_29.vsi,.vsi,0,"C488, C561, C640",38,,299.1560977842886,304.7060977842886,ome_plane_position_z,
