epoch,train_loss,val_loss,lr,epoch_time_s,train_time_s,val_time_s,best_val_loss,best_epoch,grad_norm_mean,grad_norm_max
100,0.00443915,0.00440599,8.12e-05,65.6,57.1,8.5,0.00439113,99,0.0209,0.3764
101,0.00439424,0.00435049,8.00e-05,66.3,58.3,8.0,0.00435049,101,0.0192,0.0913
102,0.00436100,0.00433316,7.87e-05,63.3,55.4,7.9,0.00433316,102,0.0189,0.0564
103,0.00436570,0.00462361,7.75e-05,62.5,56.1,6.4,0.00433316,102,0.0191,0.1931
104,0.00437797,0.00443697,7.62e-05,64.1,57.0,7.0,0.00433316,102,0.0209,0.2005
105,0.00433585,0.00431925,7.50e-05,66.2,59.4,6.8,0.00431925,105,0.0190,0.0475
106,0.00431982,0.00436681,7.38e-05,64.1,56.9,7.3,0.00431925,105,0.0184,0.0572
107,0.00430508,0.00430405,7.25e-05,60.3,53.5,6.8,0.00430405,107,0.0183,0.0617
108,0.00429413,0.00432219,7.13e-05,58.6,50.6,8.0,0.00430405,107,0.0185,0.0567
109,0.00429503,0.00429707,7.00e-05,61.7,54.0,7.7,0.00429707,109,inf,inf
110,0.00427428,0.00433940,6.88e-05,61.2,55.0,6.2,0.00429707,109,0.0186,0.0462
111,0.00427824,0.00433078,6.76e-05,60.8,54.0,6.9,0.00429707,109,inf,inf
112,0.00434381,0.00426790,6.63e-05,60.1,53.5,6.6,0.00426790,112,0.0200,0.1820
113,0.00424823,0.00425354,6.51e-05,60.8,54.2,6.6,0.00425354,113,0.0181,0.1170
114,0.00425891,0.00424986,6.39e-05,60.1,52.5,7.6,0.00424986,114,0.0188,0.2185
115,0.00425574,0.00423581,6.27e-05,61.6,55.3,6.2,0.00423581,115,0.0187,0.1706
116,0.00421571,0.00422397,6.14e-05,58.3,51.5,6.7,0.00422397,116,0.0169,0.0423
117,0.00421220,0.00439301,6.02e-05,58.0,51.6,6.4,0.00422397,116,0.0178,0.0676
118,0.00421060,0.00422377,5.90e-05,56.7,49.5,7.3,0.00422377,118,0.0180,0.0474
119,0.00420011,0.00423724,5.78e-05,66.1,58.5,7.6,0.00422377,118,0.0179,0.1000
120,0.00421494,0.00427429,5.66e-05,64.5,57.3,7.2,0.00422377,118,0.0196,0.0843
121,0.00418389,0.00418062,5.54e-05,68.9,60.6,8.3,0.00418062,121,0.0182,0.0568
